reference_short,start_year,end_year,num_measurements
Alley and Koci (1990),1989.0,1989.0,1
Ambach (1979),1959.0,1967.0,39
Benson (1962),1954.0,1955.0,59
Braithwaite (1993),1991.0,1992.0,78
Charalampidis et al. (2016  2022),2012.0,2013.0,11642
Clausen and Hammer (1988),1977.0,1977.0,1
Clausen and Stauffer (1988),1978.0,1978.0,20
Clausen et al. (1988),1974.0,1985.0,11
Clement (1984),1983.0,1983.0,28
Colbeck and Gow (1979),1973.0,1973.0,3
Covi et al. (2022  2023),2017.0,2019.0,58724
Davies (1954),1960.0,1960.0,7
Davies (1967),1962.0,1962.0,1
Diamond (1960),1951.0,1951.0,1
Echelmeyer et al. (1992),1984.0,1984.0,15
Fischer et al. (1995),1990.0,1992.0,31
GC-Net unpublished,1991.0,2010.0,60735
Giese and Hawley (2015),2004.0,2008.0,2838
Graeter et al. (2018),2016.0,2016.0,6
Griffiths (1960),1955.0,1956.0,225
Harrington et al. (2015),2010.0,2012.0,5
Hawley (2014) GrIT,2011.0,2011.0,4
Heilig et al. (2018),2016.0,2021.0,13517
Heuberger  (1954),1954.0,1954.0,1
Heuberger (1954),1950.0,1950.0,2
Hills et al. (2017),2015.0,2016.0,426
Hills et al. (2018),2011.0,2017.0,71666
Historical GC-Net: Steffen et al. (1996  2001  2023); Vandecrux et al. (2023),1995.0,2022.0,113323
Humphrey et al. (2012),2007.0,2009.0,90836
Iizuka et al. (2016),2015.0,2015.0,1
Kjær et al. (2015),2015.0,2015.0,8
Koch (1913),1912.0,1913.0,5
Langway (1961),1959.0,1959.0,14
Laternser (1994),1992.0,1992.0,214
Law et al. (2021),2019.0,2019.0,1
Lewis et al. (2019),2017.0,2017.0,8
MacFerrin et al. (2021  2022),2015.0,2019.0,179360
Matoba et al. (2015),2014.0,2014.0,2
Meier et al. (1957),1955.0,1955.0,25
Miller et al. (2020),2013.0,2017.0,97316
Mock (1965),1964.0,1964.0,12
Mock and Ragle (1963),1964.0,1964.0,31
Nishimura et al. (2023),2012.0,2020.0,14389
Nobles (1960),1954.0,1954.0,14
Ohmura et al. (1992),1990.0,1990.0,3
PROMICE/GC-Net  How et al. (2023),1995.0,2024.0,999452
Polashenski et al. (2014),2013.0,2013.0,20
Saito et al. (2024); Harper and Humphrey (2023),2019.0,2021.0,34080
Saito et al. (2024); Harper and Humphrey (2024),2019.0,2019.0,15264
Schwager (2000),1993.0,1995.0,23
Schytt (1955),1954.0,1954.0,311
Smeets et al. (2018),2009.0,2016.0,19697
Stauffer and Oeschger (1979),1978.0,1978.0,1
Thomsen et al. (1991),1990.0,1991.0,40
U.S. Army Transportation Board (1960),1960.0,1960.0,4
Vandecrux et al. (2021); Colgan and Vandecrux (2021),2017.0,2024.0,113894
Weertman et al. (1968),1966.0,1966.0,1
Wegener (1930),1930.0,1930.0,14
Yamaguchi et al. (2014),2012.0,2012.0,4
de Quervain (1969),1957.0,1964.0,19
van der Veen et al. (2001),1980.0,1981.0,142
